TrackTitle,TrackDescription,FileName,Keywords,MediaCode,TrackTime,TrackCD,TrackTrack,TrackIndex,
,,,,,,,0,0,
,,,,,,,0,0,
AfricanAmbienceBir BT020101,African Ambience - Birds Insects Etc.,AfricanAmbienceBir BT020101.wav,Animals-Jungle BGs Backgrounds,BT-02 Nature,0:02:04,BT-02,1,1,
AfricanAmbienceBir BT020101,African Ambience - Birds Insects Etc.,AfricanAmbienceBir BT020101.wav,Animals-Jungle BGs Backgrounds,BT-02 Nature,0:02:04,BT-02,1,1,
AfricanAmbienceBir BT020201,African Ambience - Birds Insects Crickets Frogs,AfricanAmbienceBir BT020201.wav,Animals-Jungle BGs Backgrounds,BT-02 Nature,0:02:03,BT-02,2,1,
AfricanAmbienceBir BT020201,African Ambience - Birds Insects Crickets Frogs,AfricanAmbienceBir BT020201.wav,Animals-Jungle BGs Backgrounds,BT-02 Nature,0:02:03,BT-02,2,1,
AfricanAmbienceBir BT020301,African Ambience - Birds Insects Crickets More Frogs,AfricanAmbienceBir BT020301.wav,Animals-Jungle BGs Backgrounds,BT-02 Nature,0:02:03,BT-02,3,1,
AfricanAmbienceBir BT020301,African Ambience - Birds Insects Crickets More Frogs,AfricanAmbienceBir BT020301.wav,Animals-Jungle BGs Backgrounds,BT-02 Nature,0:02:03,BT-02,3,1,
AirplaneInterior BT030101,Airplane Interior - Steady Inflight No Passengers,AirplaneInterior BT030101.wav,Aircraft-Jet Passenger Interior,BT-03 Transportation,0:03:03,BT-03,1,1,
AirplaneInterior BT030101,Airplane Interior - Steady Inflight No Passengers,AirplaneInterior BT030101.wav,Aircraft-Jet Passenger Interior,BT-03 Transportation,0:03:03,BT-03,1,1,
AirplaneInterior BT030201,Airplane Interior - Steady Inflight Passengers,AirplaneInterior BT030201.wav,Aircraft-Jet Passenger Interior,BT-03 Transportation,0:03:03,BT-03,2,1,
AirplaneInterior BT030201,Airplane Interior - Steady Inflight Passengers,AirplaneInterior BT030201.wav,Aircraft-Jet Passenger Interior,BT-03 Transportation,0:03:03,BT-03,2,1,
AirportAmbienceTer BT030301,Airport Ambience - Busy Terminal,AirportAmbienceTer BT030301.wav,Airports & Stations INT Airport,BT-03 Transportation,0:03:03,BT-03,3,1,
AirportAmbienceTer BT030301,Airport Ambience - Busy Terminal,AirportAmbienceTer BT030301.wav,Airports & Stations INT Airport,BT-03 Transportation,0:03:03,BT-03,3,1,
AirportAmbJets BT030501,Airport Ambience - Various Jets Taking Off,AirportAmbJets BT030501.wav,Aircraft-Jet Passenger Take Off,BT-03 Transportation,0:02:34,BT-03,5,1,
