TrackTitle,TrackDescription,FileName,Keywords,MediaCode,TrackTime,TrackCD,TrackTrack,TrackIndex,
,,,,,,,0,0,
,,,,,,,0,0,
ADDING MACHINE,ANTIQUE: SINGLE BUTTON OFFICE CALCULATOR,AddingMachine 6028_07_1,Adding Machines,6028-07-01,:01,6028,7,1,
ADDING MACHINE,ANTIQUE: SINGLE BUTTON OFFICE CALCULATOR,AddingMachine 6028_07_2,Adding Machines,6028-07-02,:01,6028,7,2,
ADDING MACHINE,ANTIQUE: SINGLE BUTTON OFFICE CALCULATOR,AddingMachine 6028_07_3,Adding Machines,6028-07-03,:01,6028,7,3,
ADDING MACHINE,ANTIQUE: PULL CRANK SLOW OFFICE CALCULATOR,AddingMachine 6028_07_4,Adding Machines,6028-07-04,:05,6028,7,4,
ADDING MACHINE,ANTIQUE: PULL CRANK SLOW OFFICE CALCULATOR,AddingMachine 6028_07_5,Adding Machines,6028-07-05,:05,6028,7,5,
ADDING MACHINE,ANTIQUE: PULL CRANK FAST OFFICE CALCULATOR,AddingMachine 6028_07_6,Adding Machines,6028-07-06,:04,6028,7,6,
ADDING MACHINE,ANTIQUE: PULL CRANK FAST OFFICE CALCULATOR,AddingMachine 6028_07_7,Adding Machines,6028-07-07,:04,6028,7,7,
ADDING MACHINE,ANTIQUE: PULL CRANK CASH DRAWER OPEN OFFICE CALCULATOR,AddingMachine 6028_07_8,Adding Machines,6028-07-08,:05,6028,7,8,
ADDING MACHINE,ANTIQUE: ADDING NUMBERS TOTAL AT END OFFICE CALCULATOR,AddingMachine 6028_08,Adding Machines,6028-08-01,:18,6028,8,1,
ADDING MACHINE,ELECTRIC: SINGLE BUTTON OFFICE CALCULATOR,AddingMachine 6028_09_1,Adding Machines,6028-09-01,:01,6028,9,1,
ADDING MACHINE,ELECTRIC: SINGLE BUTTON OFFICE CALCULATOR,AddingMachine 6028_09_2,Adding Machines,6028-09-02,:01,6028,9,2,
ADDING MACHINE,ELECTRIC: PRESS PLUS KEY PRINT TOTAL OFFICE CALCULATOR,AddingMachine 6028_09_3,Adding Machines,6028-09-03,:03,6028,9,3,
ADDING MACHINE,ELECTRIC: PRESS CLEAR KEY OFFICE CALCULATOR,AddingMachine 6028_09_4,Adding Machines,6028-09-04,:04,6028,9,4,
ADDING MACHINE,ELECTRIC: PRESS PLUS KEY THREE TIMES OFFICE CALCULATOR,AddingMachine 6028_09_5,Adding Machines,6028-09-05,:05,6028,9,5,
ADDING MACHINE,ELECTRIC: TEAR OFF PAPER PRINTOUT SLOW OFFICE CALCULATOR,AddingMachine 6028_09_6,Adding Machines,6028-09-06,:02,6028,9,6,
